700
5595	150	2279
7556	6357	936
1506	9373	992
9805	8857	3030
6865	720	1175
1717	3253	8747
2080	6742	7115
4736	2122	7570
9048	6556	9677
7778	6057	4902
8952	8776	5827
1171	6217	9734
7643	2087	4642
2244	1262	4696
5400	7580	9071
8158	6071	2959
1915	4008	4277
9663	2133	2447
480	3747	3627
5489	6580	6593
6021	5127	4696
2675	3054	378
6709	139	7614
1337	823	5102
9612	7558	6019
2631	59	2286
3841	3775	1717
8879	9497	7800
675	7524	6410
9204	8913	9432
1658	5311	2708
7705	1438	394
2111	7617	3716
9399	1285	4372
29	5937	849
9413	6557	9320
5445	9695	8132
9337	5567	5511
3078	7222	8318
5617	1473	2948
573	2149	6834
5565	7555	8327
4627	9842	8946
6323	6011	3010
7943	3549	2437
7025	6959	798
8533	2683	356
1160	2628	6664
3546	2403	6459
4399	5166	3738
6197	1619	632
8936	7304	376
3289	4671	6311
6035	8732	723
8710	2593	1205
3585	935	7573
29	8855	1731
8581	4763	3498
9506	5753	8762
5309	4399	4240
6265	5327	920
2029	758	9165
9432	5971	2165
5944	8317	9018
1712	9603	8433
1402	9652	931
2462	6941	6162
9800	1764	7237
8062	9391	2054
7192	2483	6294
2291	7063	1952
3892	9546	2582
8977	3312	2079
304	6819	8825
8440	2117	5833
7627	8007	6012
3478	5942	9198
1668	5290	8707
9631	15	1283
540	8953	7750
3163	3292	5413
4905	8949	1832
3232	1192	1314
8124	3726	3137
8871	5855	1648
5374	7720	7577
9714	7656	6138
1659	7084	9627
1858	217	397
804	7282	7997
9294	8346	2706
8468	4161	4350
9023	4060	6328
4889	7099	7784
7936	8474	2858
3465	2122	4310
9505	7711	3882
8645	8626	4533
5375	332	37
4097	979	9633
1719	7977	6420
8144	6989	8107
9942	9047	8800
4170	9024	7842
8776	5260	9617
100	6521	2222
5146	8852	8219
891	606	7492
8951	4256	9721
2695	770	9874
820	1294	2830
3236	8734	6314
8503	3994	3227
6988	5431	8622
9328	6673	3660
165	8200	24
8778	9770	7125
3	4165	5823
9435	7733	5350
4475	9772	6593
1118	8389	2327
5529	4546	1889
5937	1376	4726
9007	7754	7253
2979	2162	8458
9408	2872	3418
8436	5074	3637
262	419	3576
5737	6131	4870
8084	5489	2613
8872	5260	9652
9310	9418	6571
6413	6242	4841
1813	8787	7366
2068	7801	951
6641	1412	8688
3790	3847	4428
352	7051	3396
3469	5737	8394
7084	7528	564
4025	9805	5414
7095	1109	8389
2603	5066	8295
6020	1114	4825
7658	7915	8070
1896	561	8134
1880	2855	7248
907	8367	4546
7282	8866	849
2091	7925	7398
2441	8926	8350
7061	5557	7421
5853	7683	5450
4307	7924	1672
1604	8557	1169
6525	7213	534
5557	9564	4539
2952	639	8425
4195	3796	7461
3984	1730	6402
2819	4073	4561
6517	7533	9849
6859	7648	3964
4639	3762	7479
6555	550	2438
223	8092	2653
3059	3435	2015
9128	4173	1246
2008	6412	1576
6176	1330	7737
6204	8640	3344
1949	5962	4449
175	9361	6158
8178	5700	863
3514	156	462
1221	142	1719
1422	1424	1369
446	9978	8521
9639	3598	2754
1520	937	3574
309	719	9622
6001	5250	1023
6367	8894	8316
5869	1310	3585
5192	445	4783
5507	4434	3775
5876	3470	5096
6185	4784	2959
1673	5586	4051
1571	8933	4153
1058	1130	1927
2826	5812	4504
4488	8706	4434
3869	8395	9180
9563	8660	5760
1105	6376	9713
3678	2503	4418
5392	6329	4769
6381	5435	6637
8894	1619	1543
4724	9561	198
5194	3281	8293
6362	4657	1996
5738	6846	6349
504	171	1453
8166	3820	6068
2266	1528	8957
1770	7647	1824
7532	9349	8936
5739	2339	2857
2100	2580	5127
5092	4692	5415
1590	8419	3877
7315	9219	7427
8976	7785	3300
5613	5869	3553
463	9786	1830
9890	6817	1997
3869	42	9633
6286	3759	1840
3881	2116	8212
2215	3025	9125
6437	4039	2464
8843	872	8908
7233	2194	5969
1038	5288	7822
8367	5117	1190
2778	3514	6532
2711	8176	4113
3864	3673	5126
2949	2827	6365
1337	303	2481
6346	9865	4897
2662	4100	5509
188	9041	8712
9388	5290	6931
4410	2059	237
2175	3811	6160
3998	5950	3820
